Load,Displacement
0,5.9347181008896e-05
3.2729176914899,0.00026706231454006
8.0217712118567,0.00068249258160237
10.781034291245,0.00047477744807121
13.348164839175,0.0010979228486647
15.979371300719,0.001513353115727
18.546311429886,0.0017210682492582
21.305669718656,0.0017210682492582
23.872705057205,0.0021364985163205
26.568368269887,0.0031750741839762
29.263841063806,0.0037982195845697
31.830876402355,0.004213649851632
34.590520319269,0.0048367952522255
37.285897903807,0.0052522255192878
39.917485202875,0.0064985163204748
42.548882083181,0.0073293768545994
45.308621209476,0.008160237388724
47.811961471937,0.0096142433234421
50.379377648011,0.010860534124629
53.139973658738,0.013560830860534
42.29495866326,0.013353115727003
31.898951109983,0.012729970326409
21.181992732351,0.011899109792285
10.785985179073,0.011275964391691
0.068741173296942,0.0098219584569733
